,1,0
"(0, 0)",18.273292229777397,9.559946715789064
"(0, 1)",17.177398521022752,0.0020952552960000004
"(0, 2)",0.0,0.040646479564800005
"(0, 3)",0.0,0.4830719464058881
"(0, 4)",3.713111755537337,0.0
"(0, 5)",0.0,0.0
"(0, 6)",0.8,0.0
"(0, 7)",0.8,0.0
"(1, 8)",0.0,0.0
"(1, 9)",0.8,0.0
"(2, 10)",1.52,0.0
"(3, 11)",0.0,0.0
"(3, 12)",-1.0,0.0
"(3, 13)",0.8,0.0
"(1, 1)",17.055256176016396,9.358738471700237
"(1, 2)",16.880842099435963,8.869292550491963
"(1, 3)",14.993588711484733,0.4810036366201428
"(1, 4)",4.596165407310938,0.0
"(1, 5)",3.8015199762802,0.0
"(1, 6)",0.0,-1.0
"(1, 7)",0.8,0.0
"(2, 2)",15.013146406118786,7.435371236680204
"(2, 3)",15.337494276539148,5.697930121009759
"(3, 4)",12.190742812940488,2.4366508579407684
"(4, 5)",5.367975474379172,-0.65223626703108
"(5, 6)",2.4491248760035433,-2.4236293419791104
"(5, 7)",3.2464502602840857,0.12138280498329534
"(5, 8)",3.149067218371651,-2.579607434061403
"(5, 9)",0.3320662105813508,-0.852
"(6, 7)",-4.5739632461616075,-8.099548492060212
"(7, 8)",-8.364784356514553,-13.416689546303003
"(8, 9)",-4.5464261054084805,-6.2550445800472
"(8, 10)",-5.817800796568,-5.2236465568
"(2, 4)",11.408475217604755,1.2803332113566013
"(3, 5)",1.8660710346668252,5.61027537444131
"(3, 6)",12.006221158267165,-0.4660994343167999
"(3, 7)",0.0,1.177566616899264
"(3, 8)",5.539902919837759,0.0
"(4, 9)",4.522572094879999,-0.7525600000000001
"(4, 10)",2.108,0.0
"(5, 11)",0.65,-1.0
"(5, 12)",0.0,0.0
"(7, 9)",-10.265006380365243,-10.12049021725755
"(6, 8)",-5.281584440188496,-5.7094538404294735
"(4, 6)",4.351965836018744,-0.319487570807962
"(4, 7)",8.181809279984623,0.005063627684250005
"(4, 8)",4.696172647034806,0.0432
"(5, 10)",1.5284498600000003,-0.005999999999999998
"(6, 9)",-5.609535529632642,-6.135502858791635
"(6, 10)",-4.0951,-2.42833279509
"(6, 11)",-0.1446099999999999,-2.37949
"(8, 11)",-2.1780279999999994,-3.8644179999999997
"(3, 3)",11.8032616813891,7.202649348141621
"(4, 4)",7.1444586891302,3.1401272111250007
"(6, 12)",-1.0,-0.9
"(7, 10)",-5.416755749056843,-5.2799175985039
"(2, 5)",9.413865925147611,0.0
"(2, 6)",3.3936290363744,0.0
"(6, 13)",-1.0,0.048
"(7, 11)",-1.21312,-1.0
"(8, 12)",-0.28,0.0
"(7, 12)",-1.0,-1.9
"(7, 13)",0.0,0.0
"(9, 13)",-0.28,0.0
"(10, 14)",0.0,-1.0
"(10, 15)",0.0,0.0
"(5, 5)",-0.9054116348661325,-2.2546654079218396
"(9, 10)",-1.9,-1.0
"(9, 11)",0.0,0.0
"(6, 6)",-2.7536000530629723,-9.00243775050297
"(7, 7)",-15.982536902673633,-14.662990700961547
"(8, 8)",-5.793876113696513,-5.099685348886432
"(6, 14)",1.52,-1.0
"(9, 12)",0.0,0.048
"(9, 14)",0.0,0.0
"(6, 15)",0.0,0.0
"(2, 8)",0.0,0.0
"(2, 9)",0.0,0.048
"(4, 14)",0.8,0.0
"(5, 15)",0.0,0.0
"(5, 16)",0.0,0.0
"(5, 17)",0.8,0.0
"(6, 18)",0.0,0.0
done,0.8,0.0
"(7, 20)",0.0,0.0
"(8, 13)",0.0,0.0
"(3, 9)",0.0,0.0
"(7, 15)",-1.0,-1.0
"(7, 16)",0.0,0.0
"(2, 7)",1.06562244138176,0.0
